Data Download from NCSES Interactive Data Tool,,,,,
,,,,,
Filters,Selected values,,,,
2016,Columbia University in the City of New York,Total for selected values,Total for selected values,Total for selected values,"6,408"
2016,Columbia University in the City of New York,Science,Total for selected values,Total for selected values,"3,519"
2016,Columbia University in the City of New York,Science,Anthropology,Total for selected values,94
2016,Columbia University in the City of New York,Science,Anthropology,Female,67
2016,Columbia University in the City of New York,Science,Anthropology,Male,27
2016,Columbia University in the City of New York,Science,Astronomy and astrophysics,Total for selected values,28
2016,Columbia University in the City of New York,Science,Astronomy and astrophysics,Female,16
2016,Columbia University in the City of New York,Science,Astronomy and astrophysics,Male,12
2016,Columbia University in the City of New York,Science,Biochemistry,Total for selected values,5
2016,Columbia University in the City of New York,Science,Biochemistry,Female,1
2016,Columbia University in the City of New York,Science,Biochemistry,Male,4
2016,Columbia University in the City of New York,Science,Biology,Total for selected values,113
2016,Columbia University in the City of New York,Science,Biology,Female,57
2016,Columbia University in the City of New York,Science,Biology,Male,56
2016,Columbia University in the City of New York,Science,Biometry and epidemiology,Total for selected values,319
2016,Columbia University in the City of New York,Science,Biometry and epidemiology,Female,208
2016,Columbia University in the City of New York,Science,Biometry and epidemiology,Male,111
2016,Columbia University in the City of New York,Science,Biophysics,Total for selected values,111
2016,Columbia University in the City of New York,Science,Biophysics,Female,49
2016,Columbia University in the City of New York,Science,Biophysics,Male,62
2016,Columbia University in the City of New York,Science,Biosciences not elsewhere classified,Total for selected values,100
2016,Columbia University in the City of New York,Science,Biosciences not elsewhere classified,Female,67
2016,Columbia University in the City of New York,Science,Biosciences not elsewhere classified,Male,33
2016,Columbia University in the City of New York,Science,Chemistry,Total for selected values,135
2016,Columbia University in the City of New York,Science,Chemistry,Female,50
2016,Columbia University in the City of New York,Science,Chemistry,Male,85
2016,Columbia University in the City of New York,Science,Computer sciences,Total for selected values,562
2016,Columbia University in the City of New York,Science,Computer sciences,Female,125
2016,Columbia University in the City of New York,Science,Computer sciences,Male,437
2016,Columbia University in the City of New York,Science,"Earth, atmospheric, and ocean sciences not elsewhere classified",Total for selected values,124
2016,Columbia University in the City of New York,Science,"Earth, atmospheric, and ocean sciences not elsewhere classified",Female,62
2016,Columbia University in the City of New York,Science,"Earth, atmospheric, and ocean sciences not elsewhere classified",Male,62
2016,Columbia University in the City of New York,Science,Economics (except agricultural),Total for selected values,202
2016,Columbia University in the City of New York,Science,Economics (except agricultural),Female,81
2016,Columbia University in the City of New York,Science,Economics (except agricultural),Male,121
2016,Columbia University in the City of New York,Science,Genetics,Total for selected values,31
2016,Columbia University in the City of New York,Science,Genetics,Female,20
2016,Columbia University in the City of New York,Science,Genetics,Male,11
2016,Columbia University in the City of New York,Science,Geosciences,Total for selected values,128
2016,Columbia University in the City of New York,Science,Geosciences,Female,73
2016,Columbia University in the City of New York,Science,Geosciences,Male,55
2016,Columbia University in the City of New York,Science,Mathematics and applied mathematics,Total for selected values,227
2016,Columbia University in the City of New York,Science,Mathematics and applied mathematics,Female,95
2016,Columbia University in the City of New York,Science,Mathematics and applied mathematics,Male,132
2016,Columbia University in the City of New York,Science,"Microbiology, immunology, and virology",Total for selected values,21
2016,Columbia University in the City of New York,Science,"Microbiology, immunology, and virology",Female,14
2016,Columbia University in the City of New York,Science,"Microbiology, immunology, and virology",Male,7
2016,Columbia University in the City of New York,Science,Neurobiology and neuroscience,Total for selected values,102
2016,Columbia University in the City of New York,Science,Neurobiology and neuroscience,Female,49
2016,Columbia University in the City of New York,Science,Neurobiology and neuroscience,Male,53
2016,Columbia University in the City of New York,Science,Nutrition,Total for selected values,30
2016,Columbia University in the City of New York,Science,Nutrition,Female,18
2016,Columbia University in the City of New York,Science,Nutrition,Male,12
2016,Columbia University in the City of New York,Science,Pathology,Total for selected values,27
2016,Columbia University in the City of New York,Science,Pathology,Female,14
2016,Columbia University in the City of New York,Science,Pathology,Male,13
2016,Columbia University in the City of New York,Science,Pharmacology and toxicology,Total for selected values,21
2016,Columbia University in the City of New York,Science,Pharmacology and toxicology,Female,9
2016,Columbia University in the City of New York,Science,Pharmacology and toxicology,Male,12
2016,Columbia University in the City of New York,Science,Physics,Total for selected values,99
2016,Columbia University in the City of New York,Science,Physics,Female,10
2016,Columbia University in the City of New York,Science,Physics,Male,89
2016,Columbia University in the City of New York,Science,Physiology,Total for selected values,12
2016,Columbia University in the City of New York,Science,Physiology,Female,3
2016,Columbia University in the City of New York,Science,Physiology,Male,9
2016,Columbia University in the City of New York,Science,Political science and government,Total for selected values,157
2016,Columbia University in the City of New York,Science,Political science and government,Female,68
2016,Columbia University in the City of New York,Science,Political science and government,Male,89
2016,Columbia University in the City of New York,Science,"Psychology, general",Total for selected values,35
2016,Columbia University in the City of New York,Science,"Psychology, general",Female,22
2016,Columbia University in the City of New York,Science,"Psychology, general",Male,13
2016,Columbia University in the City of New York,Science,Social sciences not elsewhere classified,Total for selected values,156
2016,Columbia University in the City of New York,Science,Social sciences not elsewhere classified,Female,99
2016,Columbia University in the City of New York,Science,Social sciences not elsewhere classified,Male,57
2016,Columbia University in the City of New York,Science,Sociology,Total for selected values,76
2016,Columbia University in the City of New York,Science,Sociology,Female,38
2016,Columbia University in the City of New York,Science,Sociology,Male,38
2016,Columbia University in the City of New York,Science,Statistics,Total for selected values,604
2016,Columbia University in the City of New York,Science,Statistics,Female,306
2016,Columbia University in the City of New York,Science,Statistics,Male,298
2016,Columbia University in the City of New York,Engineering,Total for selected values,Total for selected values,"2,889"
2016,Columbia University in the City of New York,Engineering,Biomedical engineering,Total for selected values,167
2016,Columbia University in the City of New York,Engineering,Biomedical engineering,Female,82
2016,Columbia University in the City of New York,Engineering,Biomedical engineering,Male,85
2016,Columbia University in the City of New York,Engineering,Chemical engineering,Total for selected values,267
2016,Columbia University in the City of New York,Engineering,Chemical engineering,Female,125
2016,Columbia University in the City of New York,Engineering,Chemical engineering,Male,142
2016,Columbia University in the City of New York,Engineering,Civil engineering,Total for selected values,234
2016,Columbia University in the City of New York,Engineering,Civil engineering,Female,68
2016,Columbia University in the City of New York,Engineering,Civil engineering,Male,166
2016,Columbia University in the City of New York,Engineering,Electrical engineering,Total for selected values,668
2016,Columbia University in the City of New York,Engineering,Electrical engineering,Female,163
2016,Columbia University in the City of New York,Engineering,Electrical engineering,Male,505
2016,Columbia University in the City of New York,Engineering,Engineering not elsewhere classified,Total for selected values,197
2016,Columbia University in the City of New York,Engineering,Engineering not elsewhere classified,Female,65
2016,Columbia University in the City of New York,Engineering,Engineering not elsewhere classified,Male,132
2016,Columbia University in the City of New York,Engineering,"Engineering science, mechanics, and physics",Total for selected values,214
2016,Columbia University in the City of New York,Engineering,"Engineering science, mechanics, and physics",Female,54
2016,Columbia University in the City of New York,Engineering,"Engineering science, mechanics, and physics",Male,160
2016,Columbia University in the City of New York,Engineering,Industrial and manufacturing engineering,Total for selected values,816
2016,Columbia University in the City of New York,Engineering,Industrial and manufacturing engineering,Female,315
2016,Columbia University in the City of New York,Engineering,Industrial and manufacturing engineering,Male,501
2016,Columbia University in the City of New York,Engineering,Mechanical engineering,Total for selected values,326
2016,Columbia University in the City of New York,Engineering,Mechanical engineering,Female,57
2016,Columbia University in the City of New York,Engineering,Mechanical engineering,Male,269
2016,Cornell University,Total for selected values,Total for selected values,Total for selected values,"5,020"
2016,Cornell University,Science,Total for selected values,Total for selected values,"3,363"
2016,Cornell University,Science,Agricultural economics,Total for selected values,102
2016,Cornell University,Science,Agricultural economics,Female,56
2016,Cornell University,Science,Agricultural economics,Male,46
2016,Cornell University,Science,Agricultural sciences,Total for selected values,306
2016,Cornell University,Science,Agricultural sciences,Female,176
2016,Cornell University,Science,Agricultural sciences,Male,130
2016,Cornell University,Science,Anthropology,Total for selected values,68
2016,Cornell University,Science,Anthropology,Female,48
2016,Cornell University,Science,Anthropology,Male,20
2016,Cornell University,Science,Astronomy and astrophysics,Total for selected values,25
2016,Cornell University,Science,Astronomy and astrophysics,Female,8
2016,Cornell University,Science,Astronomy and astrophysics,Male,17
2016,Cornell University,Science,Atmospheric sciences,Total for selected values,9
2016,Cornell University,Science,Atmospheric sciences,Female,2
2016,Cornell University,Science,Atmospheric sciences,Male,7
2016,Cornell University,Science,Biochemistry,Total for selected values,96
2016,Cornell University,Science,Biochemistry,Female,40
2016,Cornell University,Science,Biochemistry,Male,56
2016,Cornell University,Science,Biology,Total for selected values,72
2016,Cornell University,Science,Biology,Female,32
2016,Cornell University,Science,Biology,Male,40
2016,Cornell University,Science,Biometry and epidemiology,Total for selected values,21
2016,Cornell University,Science,Biometry and epidemiology,Female,6
2016,Cornell University,Science,Biometry and epidemiology,Male,15
2016,Cornell University,Science,Biophysics,Total for selected values,18
2016,Cornell University,Science,Biophysics,Female,9
2016,Cornell University,Science,Biophysics,Male,9
2016,Cornell University,Science,Biosciences not elsewhere classified,Total for selected values,58
2016,Cornell University,Science,Biosciences not elsewhere classified,Female,39
2016,Cornell University,Science,Biosciences not elsewhere classified,Male,19
2016,Cornell University,Science,Botany and plant biology,Total for selected values,63
2016,Cornell University,Science,Botany and plant biology,Female,37
2016,Cornell University,Science,Botany and plant biology,Male,26
2016,Cornell University,Science,Cell and molecular biology,Total for selected values,138
2016,Cornell University,Science,Cell and molecular biology,Female,90
2016,Cornell University,Science,Cell and molecular biology,Male,48
2016,Cornell University,Science,Chemistry,Total for selected values,156
2016,Cornell University,Science,Chemistry,Female,60
2016,Cornell University,Science,Chemistry,Male,96
2016,Cornell University,Science,Communication,Total for selected values,35
2016,Cornell University,Science,Communication,Female,20
2016,Cornell University,Science,Communication,Male,15
2016,Cornell University,Science,Computer sciences,Total for selected values,499
2016,Cornell University,Science,Computer sciences,Female,194
2016,Cornell University,Science,Computer sciences,Male,305
2016,Cornell University,Science,Economics (except agricultural),Total for selected values,95
2016,Cornell University,Science,Economics (except agricultural),Female,32
2016,Cornell University,Science,Economics (except agricultural),Male,63
2016,Cornell University,Science,Entomology and parasitology,Total for selected values,24
2016,Cornell University,Science,Entomology and parasitology,Female,12
2016,Cornell University,Science,Entomology and parasitology,Male,12
2016,Cornell University,Science,Family and consumer sciences and human sciences,Total for selected values,38
2016,Cornell University,Science,Family and consumer sciences and human sciences,Female,32
2016,Cornell University,Science,Family and consumer sciences and human sciences,Male,6
2016,Cornell University,Science,Genetics,Total for selected values,48
2016,Cornell University,Science,Genetics,Female,33
2016,Cornell University,Science,Genetics,Male,15
2016,Cornell University,Science,Geosciences,Total for selected values,34
2016,Cornell University,Science,Geosciences,Female,13
2016,Cornell University,Science,Geosciences,Male,21
2016,Cornell University,Science,Linguistics,Total for selected values,32
2016,Cornell University,Science,Linguistics,Female,20
2016,Cornell University,Science,Linguistics,Male,12
2016,Cornell University,Science,Mathematics and applied mathematics,Total for selected values,102
2016,Cornell University,Science,Mathematics and applied mathematics,Female,27
2016,Cornell University,Science,Mathematics and applied mathematics,Male,75
2016,Cornell University,Science,"Microbiology, immunology, and virology",Total for selected values,103
2016,Cornell University,Science,"Microbiology, immunology, and virology",Female,67
2016,Cornell University,Science,"Microbiology, immunology, and virology",Male,36
2016,Cornell University,Science,Multidisciplinary and interdisciplinary studies,Total for selected values,20
2016,Cornell University,Science,Multidisciplinary and interdisciplinary studies,Female,14
2016,Cornell University,Science,Multidisciplinary and interdisciplinary studies,Male,6
2016,Cornell University,Science,Neurobiology and neuroscience,Total for selected values,93
2016,Cornell University,Science,Neurobiology and neuroscience,Female,47
2016,Cornell University,Science,Neurobiology and neuroscience,Male,46
2016,Cornell University,Science,Nutrition,Total for selected values,59
2016,Cornell University,Science,Nutrition,Female,55
2016,Cornell University,Science,Nutrition,Male,4
2016,Cornell University,Science,Pharmacology and toxicology,Total for selected values,78
2016,Cornell University,Science,Pharmacology and toxicology,Female,48
2016,Cornell University,Science,Pharmacology and toxicology,Male,30
2016,Cornell University,Science,Physics,Total for selected values,159
2016,Cornell University,Science,Physics,Female,28
2016,Cornell University,Science,Physics,Male,131
2016,Cornell University,Science,Physiology,Total for selected values,67
2016,Cornell University,Science,Physiology,Female,18
2016,Cornell University,Science,Physiology,Male,49
2016,Cornell University,Science,Political science and government,Total for selected values,470
2016,Cornell University,Science,Political science and government,Female,286
2016,Cornell University,Science,Political science and government,Male,184
2016,Cornell University,Science,Psychology not elsewhere classified,Total for selected values,37
2016,Cornell University,Science,Psychology not elsewhere classified,Female,17
2016,Cornell University,Science,Psychology not elsewhere classified,Male,20
2016,Cornell University,Science,Social sciences not elsewhere classified,Total for selected values,67
2016,Cornell University,Science,Social sciences not elsewhere classified,Female,31
2016,Cornell University,Science,Social sciences not elsewhere classified,Male,36
2016,Cornell University,Science,Sociology,Total for selected values,76
2016,Cornell University,Science,Sociology,Female,43
2016,Cornell University,Science,Sociology,Male,33
2016,Cornell University,Science,Statistics,Total for selected values,93
2016,Cornell University,Science,Statistics,Female,49
2016,Cornell University,Science,Statistics,Male,44
2016,Cornell University,Science,Zoology,Total for selected values,2
2016,Cornell University,Science,Zoology,Female,2
2016,Cornell University,Engineering,Total for selected values,Total for selected values,"1,657"
2016,Cornell University,Engineering,Aerospace engineering,Total for selected values,33
2016,Cornell University,Engineering,Aerospace engineering,Female,5
2016,Cornell University,Engineering,Aerospace engineering,Male,28
2016,Cornell University,Engineering,Agricultural engineering,Total for selected values,45
2016,Cornell University,Engineering,Agricultural engineering,Female,26
2016,Cornell University,Engineering,Agricultural engineering,Male,19
2016,Cornell University,Engineering,Architecture,Total for selected values,40
2016,Cornell University,Engineering,Architecture,Female,22
2016,Cornell University,Engineering,Architecture,Male,18
2016,Cornell University,Engineering,Biomedical engineering,Total for selected values,181
2016,Cornell University,Engineering,Biomedical engineering,Female,80
2016,Cornell University,Engineering,Biomedical engineering,Male,101
2016,Cornell University,Engineering,Chemical engineering,Total for selected values,173
2016,Cornell University,Engineering,Chemical engineering,Female,61
2016,Cornell University,Engineering,Chemical engineering,Male,112
2016,Cornell University,Engineering,Civil engineering,Total for selected values,148
2016,Cornell University,Engineering,Civil engineering,Female,56
2016,Cornell University,Engineering,Civil engineering,Male,92
2016,Cornell University,Engineering,Electrical engineering,Total for selected values,283
2016,Cornell University,Engineering,Electrical engineering,Female,76
2016,Cornell University,Engineering,Electrical engineering,Male,207
2016,Cornell University,Engineering,"Engineering science, mechanics, and physics",Total for selected values,93
2016,Cornell University,Engineering,"Engineering science, mechanics, and physics",Female,20
2016,Cornell University,Engineering,"Engineering science, mechanics, and physics",Male,73
2016,Cornell University,Engineering,Industrial and manufacturing engineering,Total for selected values,358
2016,Cornell University,Engineering,Industrial and manufacturing engineering,Female,128
2016,Cornell University,Engineering,Industrial and manufacturing engineering,Male,230
2016,Cornell University,Engineering,Mechanical engineering,Total for selected values,174
2016,Cornell University,Engineering,Mechanical engineering,Female,49
2016,Cornell University,Engineering,Mechanical engineering,Male,125
2016,Cornell University,Engineering,Metallurgical and materials engineering,Total for selected values,129
2016,Cornell University,Engineering,Metallurgical and materials engineering,Female,50
2016,Cornell University,Engineering,Metallurgical and materials engineering,Male,79
2016,Dartmouth College,Total for selected values,Total for selected values,Total for selected values,759
2016,Dartmouth College,Science,Total for selected values,Total for selected values,546
2016,Dartmouth College,Science,Biochemistry,Total for selected values,37
2016,Dartmouth College,Science,Biochemistry,Female,18
2016,Dartmouth College,Science,Biochemistry,Male,19
2016,Dartmouth College,Science,Biology,Total for selected values,43
2016,Dartmouth College,Science,Biology,Female,20
2016,Dartmouth College,Science,Biology,Male,23
2016,Dartmouth College,Science,Biosciences not elsewhere classified,Total for selected values,76
2016,Dartmouth College,Science,Biosciences not elsewhere classified,Female,50
2016,Dartmouth College,Science,Biosciences not elsewhere classified,Male,26
2016,Dartmouth College,Science,Chemistry,Total for selected values,45
2016,Dartmouth College,Science,Chemistry,Female,17
2016,Dartmouth College,Science,Chemistry,Male,28
2016,Dartmouth College,Science,Computer sciences,Total for selected values,100
2016,Dartmouth College,Science,Computer sciences,Female,30
2016,Dartmouth College,Science,Computer sciences,Male,70
2016,Dartmouth College,Science,Genetics,Total for selected values,26
2016,Dartmouth College,Science,Genetics,Female,13
2016,Dartmouth College,Science,Genetics,Male,13
2016,Dartmouth College,Science,Geosciences,Total for selected values,23
2016,Dartmouth College,Science,Geosciences,Female,15
2016,Dartmouth College,Science,Geosciences,Male,8
2016,Dartmouth College,Science,Mathematics and applied mathematics,Total for selected values,27
2016,Dartmouth College,Science,Mathematics and applied mathematics,Female,10
2016,Dartmouth College,Science,Mathematics and applied mathematics,Male,17
2016,Dartmouth College,Science,"Microbiology, immunology, and virology",Total for selected values,54
2016,Dartmouth College,Science,"Microbiology, immunology, and virology",Female,31
2016,Dartmouth College,Science,"Microbiology, immunology, and virology",Male,23
2016,Dartmouth College,Science,Multidisciplinary and interdisciplinary studies,Total for selected values,22
2016,Dartmouth College,Science,Multidisciplinary and interdisciplinary studies,Female,13
2016,Dartmouth College,Science,Multidisciplinary and interdisciplinary studies,Male,9
2016,Dartmouth College,Science,Neurobiology and neuroscience,Total for selected values,45
2016,Dartmouth College,Science,Neurobiology and neuroscience,Female,21
2016,Dartmouth College,Science,Neurobiology and neuroscience,Male,24
2016,Dartmouth College,Science,Physics,Total for selected values,48
2016,Dartmouth College,Science,Physics,Female,18
2016,Dartmouth College,Science,Physics,Male,30
2016,Dartmouth College,Engineering,Total for selected values,Total for selected values,213
2016,Dartmouth College,Engineering,Engineering not elsewhere classified,Total for selected values,213
2016,Dartmouth College,Engineering,Engineering not elsewhere classified,Female,61
2016,Dartmouth College,Engineering,Engineering not elsewhere classified,Male,152
2016,Duke University,Total for selected values,Total for selected values,Total for selected values,"2,384"
2016,Duke University,Science,Total for selected values,Total for selected values,"1,760"
2016,Duke University,Science,Agricultural sciences,Total for selected values,104
2016,Duke University,Science,Agricultural sciences,Female,64
2016,Duke University,Science,Agricultural sciences,Male,40
2016,Duke University,Science,Anthropology,Total for selected values,51
2016,Duke University,Science,Anthropology,Female,24
2016,Duke University,Science,Anthropology,Male,27
2016,Duke University,Science,Biochemistry,Total for selected values,51
2016,Duke University,Science,Biochemistry,Female,21
2016,Duke University,Science,Biochemistry,Male,30
2016,Duke University,Science,Biology,Total for selected values,66
2016,Duke University,Science,Biology,Female,44
2016,Duke University,Science,Biology,Male,22
2016,Duke University,Science,Biometry and epidemiology,Total for selected values,44
2016,Duke University,Science,Biometry and epidemiology,Female,14
2016,Duke University,Science,Biometry and epidemiology,Male,30
2016,Duke University,Science,Biosciences not elsewhere classified,Total for selected values,22
2016,Duke University,Science,Biosciences not elsewhere classified,Female,13
2016,Duke University,Science,Biosciences not elsewhere classified,Male,9
2016,Duke University,Science,Cell and molecular biology,Total for selected values,54
2016,Duke University,Science,Cell and molecular biology,Female,32
2016,Duke University,Science,Cell and molecular biology,Male,22
2016,Duke University,Science,Chemistry,Total for selected values,125
2016,Duke University,Science,Chemistry,Female,58
2016,Duke University,Science,Chemistry,Male,67
2016,Duke University,Science,Computer sciences,Total for selected values,93
2016,Duke University,Science,Computer sciences,Female,19
2016,Duke University,Science,Computer sciences,Male,74
2016,Duke University,Science,Economics (except agricultural),Total for selected values,283
2016,Duke University,Science,Economics (except agricultural),Female,138
2016,Duke University,Science,Economics (except agricultural),Male,145
2016,Duke University,Science,Genetics,Total for selected values,143
2016,Duke University,Science,Genetics,Female,74
2016,Duke University,Science,Genetics,Male,69
2016,Duke University,Science,Geosciences,Total for selected values,25
2016,Duke University,Science,Geosciences,Female,11
2016,Duke University,Science,Geosciences,Male,14
2016,Duke University,Science,Mathematics and applied mathematics,Total for selected values,57
2016,Duke University,Science,Mathematics and applied mathematics,Female,17
2016,Duke University,Science,Mathematics and applied mathematics,Male,40
2016,Duke University,Science,"Microbiology, immunology, and virology",Total for selected values,29
2016,Duke University,Science,"Microbiology, immunology, and virology",Female,15
2016,Duke University,Science,"Microbiology, immunology, and virology",Male,14
2016,Duke University,Science,Neurobiology and neuroscience,Total for selected values,60
2016,Duke University,Science,Neurobiology and neuroscience,Female,28
2016,Duke University,Science,Neurobiology and neuroscience,Male,32
2016,Duke University,Science,Ocean sciences,Total for selected values,31
2016,Duke University,Science,Ocean sciences,Female,18
2016,Duke University,Science,Ocean sciences,Male,13
2016,Duke University,Science,Pathology,Total for selected values,28
2016,Duke University,Science,Pathology,Female,8
2016,Duke University,Science,Pathology,Male,20
2016,Duke University,Science,Pharmacology and toxicology,Total for selected values,78
2016,Duke University,Science,Pharmacology and toxicology,Female,36
2016,Duke University,Science,Pharmacology and toxicology,Male,42
2016,Duke University,Science,Physics,Total for selected values,80
2016,Duke University,Science,Physics,Female,15
2016,Duke University,Science,Physics,Male,65
2016,Duke University,Science,Political science and government,Total for selected values,127
2016,Duke University,Science,Political science and government,Female,64
2016,Duke University,Science,Political science and government,Male,63
2016,Duke University,Science,Psychology not elsewhere classified,Total for selected values,72
2016,Duke University,Science,Psychology not elsewhere classified,Female,48
2016,Duke University,Science,Psychology not elsewhere classified,Male,24
2016,Duke University,Science,Sociology,Total for selected values,43
2016,Duke University,Science,Sociology,Female,18
2016,Duke University,Science,Sociology,Male,25
2016,Duke University,Science,Statistics,Total for selected values,94
2016,Duke University,Science,Statistics,Female,36
2016,Duke University,Science,Statistics,Male,58
2016,Duke University,Engineering,Total for selected values,Total for selected values,624
2016,Duke University,Engineering,Biomedical engineering,Total for selected values,229
2016,Duke University,Engineering,Biomedical engineering,Female,93
2016,Duke University,Engineering,Biomedical engineering,Male,136
2016,Duke University,Engineering,Civil engineering,Total for selected values,62
2016,Duke University,Engineering,Civil engineering,Female,33
2016,Duke University,Engineering,Civil engineering,Male,29
2016,Duke University,Engineering,Electrical engineering,Total for selected values,220
2016,Duke University,Engineering,Electrical engineering,Female,51
2016,Duke University,Engineering,Electrical engineering,Male,169
2016,Duke University,Engineering,Mechanical engineering,Total for selected values,113
2016,Duke University,Engineering,Mechanical engineering,Female,18
2016,Duke University,Engineering,Mechanical engineering,Male,95
2016,Harvard University,Total for selected values,Total for selected values,Total for selected values,"4,650"
2016,Harvard University,Science,Total for selected values,Total for selected values,"4,453"
2016,Harvard University,Science,Anthropology,Total for selected values,63
2016,Harvard University,Science,Anthropology,Female,36
2016,Harvard University,Science,Anthropology,Male,27
2016,Harvard University,Science,Astronomy and astrophysics,Total for selected values,61
2016,Harvard University,Science,Astronomy and astrophysics,Female,26
2016,Harvard University,Science,Astronomy and astrophysics,Male,35
2016,Harvard University,Science,Biochemistry,Total for selected values,1
2016,Harvard University,Science,Biochemistry,Female,1
2016,Harvard University,Science,Biology,Total for selected values,98
2016,Harvard University,Science,Biology,Female,47
2016,Harvard University,Science,Biology,Male,51
2016,Harvard University,Science,Biometry and epidemiology,Total for selected values,368
2016,Harvard University,Science,Biometry and epidemiology,Female,216
2016,Harvard University,Science,Biometry and epidemiology,Male,152
2016,Harvard University,Science,Biophysics,Total for selected values,50
2016,Harvard University,Science,Biophysics,Female,12
2016,Harvard University,Science,Biophysics,Male,38
2016,Harvard University,Science,Biosciences not elsewhere classified,Total for selected values,584
2016,Harvard University,Science,Biosciences not elsewhere classified,Female,279
2016,Harvard University,Science,Biosciences not elsewhere classified,Male,305
2016,Harvard University,Science,Cell and molecular biology,Total for selected values,122
2016,Harvard University,Science,Cell and molecular biology,Female,61
2016,Harvard University,Science,Cell and molecular biology,Male,61
2016,Harvard University,Science,Chemistry,Total for selected values,161
2016,Harvard University,Science,Chemistry,Female,53
2016,Harvard University,Science,Chemistry,Male,108
2016,Harvard University,Science,Computer sciences,Total for selected values,141
2016,Harvard University,Science,Computer sciences,Female,44
2016,Harvard University,Science,Computer sciences,Male,97
2016,Harvard University,Science,Economics (except agricultural),Total for selected values,191
2016,Harvard University,Science,Economics (except agricultural),Female,69
2016,Harvard University,Science,Economics (except agricultural),Male,122
2016,Harvard University,Science,Geosciences,Total for selected values,57
2016,Harvard University,Science,Geosciences,Female,37
2016,Harvard University,Science,Geosciences,Male,20
2016,Harvard University,Science,History and philosophy of science,Total for selected values,48
2016,Harvard University,Science,History and philosophy of science,Female,28
2016,Harvard University,Science,History and philosophy of science,Male,20
2016,Harvard University,Science,Linguistics,Total for selected values,25
2016,Harvard University,Science,Linguistics,Female,17
2016,Harvard University,Science,Linguistics,Male,8
2016,Harvard University,Science,Mathematics and applied mathematics,Total for selected values,85
2016,Harvard University,Science,Mathematics and applied mathematics,Female,16
