Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","8 of 1070"

,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"2016","Duke University","Biochemistry","Returning Students","Total for selected values","41",
"2016","Duke University","Biochemistry","Returning Students","Female","18",
"2016","Duke University","Biochemistry","Returning Students","Male","23",
"2016","Duke University","Biology","Total for selected values","Total for selected values","66",
"2016","Duke University","Biology","First Time Students","Total for selected values","8",
"2016","Duke University","Biology","First Time Students","Female","5",
"2016","Duke University","Biology","First Time Students","Male","3",
"2016","Duke University","Biology","Returning Students","Total for selected values","58",
"2016","Duke University","Biology","Returning Students","Female","39",
"2016","Duke University","Biology","Returning Students","Male","19",
"2016","Duke University","Biomedical engineering","Total for selected values","Total for selected values","229",
"2016","Duke University","Biomedical engineering","First Time Students","Total for selected values","60",
"2016","Duke University","Biomedical engineering","First Time Students","Female","24",
"2016","Duke University","Biomedical engineering","First Time Students","Male","36",
"2016","Duke University","Biomedical engineering","Returning Students","Total for selected values","169",
"2016","Duke University","Biomedical engineering","Returning Students","Female","69",
"2016","Duke University","Biomedical engineering","Returning Students","Male","100",
"2016","Duke University","Biometry and epidemiology","Total for selected values","Total for selected values","44",
"2016","Duke University","Biometry and epidemiology","First Time Students","Total for selected values","10",
"2016","Duke University","Biometry and epidemiology","First Time Students","Female","4",
"2016","Duke University","Biometry and epidemiology","First Time Students","Male","6",
"2016","Duke University","Biometry and epidemiology","Returning Students","Total for selected values","34",
"2016","Duke University","Biometry and epidemiology","Returning Students","Female","10",
"2016","Duke University","Biometry and epidemiology","Returning Students","Male","24",
"2016","Duke University","Biosciences not elsewhere classified","Total for selected values","Total for selected values","22",
"2016","Duke University","Biosciences not elsewhere classified","First Time Students","Total for selected values","11",
"2016","Duke University","Biosciences not elsewhere classified","First Time Students","Female","7",
"2016","Duke University","Biosciences not elsewhere classified","First Time Students","Male","4",
"2016","Duke University","Biosciences not elsewhere classified","Returning Students","Total for selected values","11",
"2016","Duke University","Biosciences not elsewhere classified","Returning Students","Female","6",
"2016","Duke University","Biosciences not elsewhere classified","Returning Students","Male","5",
"2016","Duke University","Cell and molecular biology","Total for selected values","Total for selected values","54",
"2016","Duke University","Cell and molecular biology","First Time Students","Total for selected values","18",
"2016","Duke University","Cell and molecular biology","First Time Students","Female","10",
"2016","Duke University","Cell and molecular biology","First Time Students","Male","8",
"2016","Duke University","Cell and molecular biology","Returning Students","Total for selected values","36",
"2016","Duke University","Cell and molecular biology","Returning Students","Female","22",
"2016","Duke University","Cell and molecular biology","Returning Students","Male","14",
"2016","Duke University","Chemistry","Total for selected values","Total for selected values","125",
"2016","Duke University","Chemistry","First Time Students","Total for selected values","19",
"2016","Duke University","Chemistry","First Time Students","Female","5",
"2016","Duke University","Chemistry","First Time Students","Male","14",
"2016","Duke University","Chemistry","Returning Students","Total for selected values","106",
"2016","Duke University","Chemistry","Returning Students","Female","53",
"2016","Duke University","Chemistry","Returning Students","Male","53",
"2016","Duke University","Civil engineering","Total for selected values","Total for selected values","62",
"2016","Duke University","Civil engineering","First Time Students","Total for selected values","17",
"2016","Duke University","Civil engineering","First Time Students","Female","7",
"2016","Duke University","Civil engineering","First Time Students","Male","10",
"2016","Duke University","Civil engineering","Returning Students","Total for selected values","45",
"2016","Duke University","Civil engineering","Returning Students","Female","26",
"2016","Duke University","Civil engineering","Returning Students","Male","19",
"2016","Duke University","Computer sciences","Total for selected values","Total for selected values","93",
"2016","Duke University","Computer sciences","First Time Students","Total for selected values","25",
"2016","Duke University","Computer sciences","First Time Students","Female","7",
"2016","Duke University","Computer sciences","First Time Students","Male","18",
"2016","Duke University","Computer sciences","Returning Students","Total for selected values","68",
"2016","Duke University","Computer sciences","Returning Students","Female","12",
"2016","Duke University","Computer sciences","Returning Students","Male","56",
"2016","Duke University","Economics (except agricultural)","Total for selected values","Total for selected values","283",
"2016","Duke University","Economics (except agricultural)","First Time Students","Total for selected values","106",
"2016","Duke University","Economics (except agricultural)","First Time Students","Female","54",
"2016","Duke University","Economics (except agricultural)","First Time Students","Male","52",
"2016","Duke University","Economics (except agricultural)","Returning Students","Total for selected values","177",
"2016","Duke University","Economics (except agricultural)","Returning Students","Female","84",
"2016","Duke University","Economics (except agricultural)","Returning Students","Male","93",
"2016","Duke University","Electrical engineering","Total for selected values","Total for selected values","220",
"2016","Duke University","Electrical engineering","First Time Students","Total for selected values","51",
"2016","Duke University","Electrical engineering","First Time Students","Female","12",
"2016","Duke University","Electrical engineering","First Time Students","Male","39",
"2016","Duke University","Electrical engineering","Returning Students","Total for selected values","169",
"2016","Duke University","Electrical engineering","Returning Students","Female","39",
"2016","Duke University","Electrical engineering","Returning Students","Male","130",
"2016","Duke University","Genetics","Total for selected values","Total for selected values","143",
"2016","Duke University","Genetics","First Time Students","Total for selected values","15",
"2016","Duke University","Genetics","First Time Students","Female","10",
"2016","Duke University","Genetics","First Time Students","Male","5",
"2016","Duke University","Genetics","Returning Students","Total for selected values","128",
"2016","Duke University","Genetics","Returning Students","Female","64",
"2016","Duke University","Genetics","Returning Students","Male","64",
"2016","Duke University","Geosciences","Total for selected values","Total for selected values","25",
"2016","Duke University","Geosciences","First Time Students","Total for selected values","2",
"2016","Duke University","Geosciences","First Time Students","Female","2",
"2016","Duke University","Geosciences","Returning Students","Total for selected values","23",
"2016","Duke University","Geosciences","Returning Students","Female","9",
"2016","Duke University","Geosciences","Returning Students","Male","14",
"2016","Duke University","Mathematics and applied mathematics","Total for selected values","Total for selected values","57",
"2016","Duke University","Mathematics and applied mathematics","First Time Students","Total for selected values","11",
"2016","Duke University","Mathematics and applied mathematics","First Time Students","Female","2",
"2016","Duke University","Mathematics and applied mathematics","First Time Students","Male","9",
"2016","Duke University","Mathematics and applied mathematics","Returning Students","Total for selected values","46",
"2016","Duke University","Mathematics and applied mathematics","Returning Students","Female","15",
"2016","Duke University","Mathematics and applied mathematics","Returning Students","Male","31",
"2016","Duke University","Mechanical engineering","Total for selected values","Total for selected values","113",
"2016","Duke University","Mechanical engineering","First Time Students","Total for selected values","53",
"2016","Duke University","Mechanical engineering","First Time Students","Female","6",
"2016","Duke University","Mechanical engineering","First Time Students","Male","47",
"2016","Duke University","Mechanical engineering","Returning Students","Total for selected values","60",
"2016","Duke University","Mechanical engineering","Returning Students","Female","12",
"2016","Duke University","Mechanical engineering","Returning Students","Male","48",
"2016","Duke University","Microbiology, immunology, and virology","Total for selected values","Total for selected values","29",
"2016","Duke University","Microbiology, immunology, and virology","First Time Students","Total for selected values","5",
"2016","Duke University","Microbiology, immunology, and virology","First Time Students","Female","4",
"2016","Duke University","Microbiology, immunology, and virology","First Time Students","Male","1",
"2016","Duke University","Microbiology, immunology, and virology","Returning Students","Total for selected values","24",
"2016","Duke University","Microbiology, immunology, and virology","Returning Students","Female","11",
"2016","Duke University","Microbiology, immunology, and virology","Returning Students","Male","13",
"2016","Duke University","Neurobiology and neuroscience","Total for selected values","Total for selected values","60",
"2016","Duke University","Neurobiology and neuroscience","First Time Students","Total for selected values","12",
"2016","Duke University","Neurobiology and neuroscience","First Time Students","Female","6",
"2016","Duke University","Neurobiology and neuroscience","First Time Students","Male","6",
"2016","Duke University","Neurobiology and neuroscience","Returning Students","Total for selected values","48",
"2016","Duke University","Neurobiology and neuroscience","Returning Students","Female","22",
"2016","Duke University","Neurobiology and neuroscience","Returning Students","Male","26",
"2016","Duke University","Nursing science","Total for selected values","Total for selected values","37",
"2016","Duke University","Nursing science","First Time Students","Total for selected values","9",
"2016","Duke University","Nursing science","First Time Students","Female","7",
"2016","Duke University","Nursing science","First Time Students","Male","2",
"2016","Duke University","Nursing science","Returning Students","Total for selected values","28",
"2016","Duke University","Nursing science","Returning Students","Female","26",
"2016","Duke University","Nursing science","Returning Students","Male","2",
"2016","Duke University","Ocean sciences","Total for selected values","Total for selected values","31",
"2016","Duke University","Ocean sciences","First Time Students","Total for selected values","7",
"2016","Duke University","Ocean sciences","First Time Students","Female","2",
"2016","Duke University","Ocean sciences","First Time Students","Male","5",
"2016","Duke University","Ocean sciences","Returning Students","Total for selected values","24",
"2016","Duke University","Ocean sciences","Returning Students","Female","16",
"2016","Duke University","Ocean sciences","Returning Students","Male","8",
"2016","Duke University","Pathology","Total for selected values","Total for selected values","28",
"2016","Duke University","Pathology","First Time Students","Total for selected values","14",
"2016","Duke University","Pathology","First Time Students","Female","5",
"2016","Duke University","Pathology","First Time Students","Male","9",
"2016","Duke University","Pathology","Returning Students","Total for selected values","14",
"2016","Duke University","Pathology","Returning Students","Female","3",
"2016","Duke University","Pathology","Returning Students","Male","11",
"2016","Duke University","Pharmacology and toxicology","Total for selected values","Total for selected values","78",
"2016","Duke University","Pharmacology and toxicology","First Time Students","Total for selected values","4",
"2016","Duke University","Pharmacology and toxicology","First Time Students","Female","3",
"2016","Duke University","Pharmacology and toxicology","First Time Students","Male","1",
"2016","Duke University","Pharmacology and toxicology","Returning Students","Total for selected values","74",
"2016","Duke University","Pharmacology and toxicology","Returning Students","Female","33",
"2016","Duke University","Pharmacology and toxicology","Returning Students","Male","41",
"2016","Duke University","Physics","Total for selected values","Total for selected values","80",
"2016","Duke University","Physics","First Time Students","Total for selected values","18",
"2016","Duke University","Physics","First Time Students","Female","5",
"2016","Duke University","Physics","First Time Students","Male","13",
"2016","Duke University","Physics","Returning Students","Total for selected values","62",
"2016","Duke University","Physics","Returning Students","Female","10",
"2016","Duke University","Physics","Returning Students","Male","52",
"2016","Duke University","Political science and government","Total for selected values","Total for selected values","127",
"2016","Duke University","Political science and government","First Time Students","Total for selected values","32",
"2016","Duke University","Political science and government","First Time Students","Female","18",
"2016","Duke University","Political science and government","First Time Students","Male","14",
"2016","Duke University","Political science and government","Returning Students","Total for selected values","95",
"2016","Duke University","Political science and government","Returning Students","Female","46",
"2016","Duke University","Political science and government","Returning Students","Male","49",
"2016","Duke University","Preventive medicine and community health","Total for selected values","Total for selected values","78",
"2016","Duke University","Preventive medicine and community health","First Time Students","Total for selected values","43",
"2016","Duke University","Preventive medicine and community health","First Time Students","Female","35",
"2016","Duke University","Preventive medicine and community health","First Time Students","Male","8",
"2016","Duke University","Preventive medicine and community health","Returning Students","Total for selected values","35",
"2016","Duke University","Preventive medicine and community health","Returning Students","Female","22",
"2016","Duke University","Preventive medicine and community health","Returning Students","Male","13",
"2016","Duke University","Psychology not elsewhere classified","Total for selected values","Total for selected values","72",
"2016","Duke University","Psychology not elsewhere classified","First Time Students","Total for selected values","18",
"2016","Duke University","Psychology not elsewhere classified","First Time Students","Female","11",
"2016","Duke University","Psychology not elsewhere classified","First Time Students","Male","7",
"2016","Duke University","Psychology not elsewhere classified","Returning Students","Total for selected values","54",
"2016","Duke University","Psychology not elsewhere classified","Returning Students","Female","37",
"2016","Duke University","Psychology not elsewhere classified","Returning Students","Male","17",
"2016","Duke University","Radiology","Total for selected values","Total for selected values","56",
"2016","Duke University","Radiology","First Time Students","Total for selected values","22",
"2016","Duke University","Radiology","First Time Students","Female","11",
"2016","Duke University","Radiology","First Time Students","Male","11",
"2016","Duke University","Radiology","Returning Students","Total for selected values","34",
"2016","Duke University","Radiology","Returning Students","Female","11",
"2016","Duke University","Radiology","Returning Students","Male","23",
"2016","Duke University","Sociology","Total for selected values","Total for selected values","43",
"2016","Duke University","Sociology","First Time Students","Total for selected values","3",
"2016","Duke University","Sociology","First Time Students","Female","2",
"2016","Duke University","Sociology","First Time Students","Male","1",
"2016","Duke University","Sociology","Returning Students","Total for selected values","40",
"2016","Duke University","Sociology","Returning Students","Female","16",
"2016","Duke University","Sociology","Returning Students","Male","24",
"2016","Duke University","Statistics","Total for selected values","Total for selected values","94",
"2016","Duke University","Statistics","First Time Students","Total for selected values","33",
"2016","Duke University","Statistics","First Time Students","Female","12",
"2016","Duke University","Statistics","First Time Students","Male","21",
"2016","Duke University","Statistics","Returning Students","Total for selected values","61",
"2016","Duke University","Statistics","Returning Students","Female","24",
"2016","Duke University","Statistics","Returning Students","Male","37",
"2016","Harvard University","Total for selected values","Total for selected values","Total for selected values","5,152",
"2016","Harvard University","Anthropology","Total for selected values","Total for selected values","63",
"2016","Harvard University","Anthropology","First Time Students","Total for selected values","10",
"2016","Harvard University","Anthropology","First Time Students","Female","7",
"2016","Harvard University","Anthropology","First Time Students","Male","3",
"2016","Harvard University","Anthropology","Returning Students","Total for selected values","53",
"2016","Harvard University","Anthropology","Returning Students","Female","29",
"2016","Harvard University","Anthropology","Returning Students","Male","24",
"2016","Harvard University","Architecture","Total for selected values","Total for selected values","38",
"2016","Harvard University","Architecture","First Time Students","Total for selected values","6",
"2016","Harvard University","Architecture","First Time Students","Female","2",
"2016","Harvard University","Architecture","First Time Students","Male","4",
"2016","Harvard University","Architecture","Returning Students","Total for selected values","32",
"2016","Harvard University","Architecture","Returning Students","Female","16",
"2016","Harvard University","Architecture","Returning Students","Male","16",
"2016","Harvard University","Astronomy and astrophysics","Total for selected values","Total for selected values","61",
"2016","Harvard University","Astronomy and astrophysics","First Time Students","Total for selected values","11",
"2016","Harvard University","Astronomy and astrophysics","First Time Students","Female","4",
"2016","Harvard University","Astronomy and astrophysics","First Time Students","Male","7",
"2016","Harvard University","Astronomy and astrophysics","Returning Students","Total for selected values","50",
"2016","Harvard University","Astronomy and astrophysics","Returning Students","Female","22",
"2016","Harvard University","Astronomy and astrophysics","Returning Students","Male","28",
"2016","Harvard University","Biochemistry","Total for selected values","Total for selected values","1",
"2016","Harvard University","Biochemistry","Returning Students","Total for selected values","1",
"2016","Harvard University","Biochemistry","Returning Students","Female","1",
"2016","Harvard University","Biology","Total for selected values","Total for selected values","98",
"2016","Harvard University","Biology","First Time Students","Total for selected values","12",
"2016","Harvard University","Biology","First Time Students","Female","7",
"2016","Harvard University","Biology","First Time Students","Male","5",
"2016","Harvard University","Biology","Returning Students","Total for selected values","86",
"2016","Harvard University","Biology","Returning Students","Female","40",
"2016","Harvard University","Biology","Returning Students","Male","46",
"2016","Harvard University","Biometry and epidemiology","Total for selected values","Total for selected values","368",
"2016","Harvard University","Biometry and epidemiology","First Time Students","Total for selected values","126",
"2016","Harvard University","Biometry and epidemiology","First Time Students","Female","89",
"2016","Harvard University","Biometry and epidemiology","First Time Students","Male","37",
"2016","Harvard University","Biometry and epidemiology","Not collected","Total for selected values","124",
"2016","Harvard University","Biometry and epidemiology","Not collected","Female","60",
"2016","Harvard University","Biometry and epidemiology","Not collected","Male","64",
"2016","Harvard University","Biometry and epidemiology","Returning Students","Total for selected values","118",
"2016","Harvard University","Biometry and epidemiology","Returning Students","Female","67",
"2016","Harvard University","Biometry and epidemiology","Returning Students","Male","51",
"2016","Harvard University","Biophysics","Total for selected values","Total for selected values","50",
"2016","Harvard University","Biophysics","First Time Students","Total for selected values","11",
"2016","Harvard University","Biophysics","First Time Students","Female","4",
"2016","Harvard University","Biophysics","First Time Students","Male","7",
"2016","Harvard University","Biophysics","Returning Students","Total for selected values","39",
"2016","Harvard University","Biophysics","Returning Students","Female","8",
"2016","Harvard University","Biophysics","Returning Students","Male","31",
"2016","Harvard University","Biosciences not elsewhere classified","Total for selected values","Total for selected values","584",
"2016","Harvard University","Biosciences not elsewhere classified","First Time Students","Total for selected values","121",
"2016","Harvard University","Biosciences not elsewhere classified","First Time Students","Female","54",
"2016","Harvard University","Biosciences not elsewhere classified","First Time Students","Male","67",
"2016","Harvard University","Biosciences not elsewhere classified","Returning Students","Total for selected values","463",
"2016","Harvard University","Biosciences not elsewhere classified","Returning Students","Female","225",
"2016","Harvard University","Biosciences not elsewhere classified","Returning Students","Male","238",
"2016","Harvard University","Cell and molecular biology","Total for selected values","Total for selected values","122",
"2016","Harvard University","Cell and molecular biology","First Time Students","Total for selected values","14",
"2016","Harvard University","Cell and molecular biology","First Time Students","Female","8",
"2016","Harvard University","Cell and molecular biology","First Time Students","Male","6",
"2016","Harvard University","Cell and molecular biology","Returning Students","Total for selected values","108",
"2016","Harvard University","Cell and molecular biology","Returning Students","Female","53",
"2016","Harvard University","Cell and molecular biology","Returning Students","Male","55",
"2016","Harvard University","Chemistry","Total for selected values","Total for selected values","161",
"2016","Harvard University","Chemistry","First Time Students","Total for selected values","30",
"2016","Harvard University","Chemistry","First Time Students","Female","11",
"2016","Harvard University","Chemistry","First Time Students","Male","19",
"2016","Harvard University","Chemistry","Returning Students","Total for selected values","131",
"2016","Harvard University","Chemistry","Returning Students","Female","42",
"2016","Harvard University","Chemistry","Returning Students","Male","89",
"2016","Harvard University","Computer sciences","Total for selected values","Total for selected values","141",
"2016","Harvard University","Computer sciences","First Time Students","Total for selected values","61",
"2016","Harvard University","Computer sciences","First Time Students","Female","23",
"2016","Harvard University","Computer sciences","First Time Students","Male","38",
"2016","Harvard University","Computer sciences","Not collected","Total for selected values","17",
"2016","Harvard University","Computer sciences","Not collected","Female","6",
"2016","Harvard University","Computer sciences","Not collected","Male","11",
"2016","Harvard University","Computer sciences","Returning Students","Total for selected values","63",
"2016","Harvard University","Computer sciences","Returning Students","Female","15",
"2016","Harvard University","Computer sciences","Returning Students","Male","48",
"2016","Harvard University","Economics (except agricultural)","Total for selected values","Total for selected values","191",
"2016","Harvard University","Economics (except agricultural)","First Time Students","Total for selected values","34",
"2016","Harvard University","Economics (except agricultural)","First Time Students","Female","12",
"2016","Harvard University","Economics (except agricultural)","First Time Students","Male","22",
"2016","Harvard University","Economics (except agricultural)","Returning Students","Total for selected values","157",
"2016","Harvard University","Economics (except agricultural)","Returning Students","Female","57",
"2016","Harvard University","Economics (except agricultural)","Returning Students","Male","100",
"2016","Harvard University","Engineering science, mechanics, and physics","Total for selected values","Total for selected values","159",
"2016","Harvard University","Engineering science, mechanics, and physics","First Time Students","Total for selected values","39",
"2016","Harvard University","Engineering science, mechanics, and physics","First Time Students","Female","15",
"2016","Harvard University","Engineering science, mechanics, and physics","First Time Students","Male","24",
"2016","Harvard University","Engineering science, mechanics, and physics","Not collected","Total for selected values","2",
"2016","Harvard University","Engineering science, mechanics, and physics","Not collected","Female","1",
"2016","Harvard University","Engineering science, mechanics, and physics","Not collected","Male","1",
"2016","Harvard University","Engineering science, mechanics, and physics","Returning Students","Total for selected values","118",
"2016","Harvard University","Engineering science, mechanics, and physics","Returning Students","Female","25",
"2016","Harvard University","Engineering science, mechanics, and physics","Returning Students","Male","93",
"2016","Harvard University","Geosciences","Total for selected values","Total for selected values","57",
"2016","Harvard University","Geosciences","First Time Students","Total for selected values","15",
"2016","Harvard University","Geosciences","First Time Students","Female","9",
"2016","Harvard University","Geosciences","First Time Students","Male","6",
"2016","Harvard University","Geosciences","Returning Students","Total for selected values","42",
"2016","Harvard University","Geosciences","Returning Students","Female","28",
"2016","Harvard University","Geosciences","Returning Students","Male","14",
"2016","Harvard University","History and philosophy of science","Total for selected values","Total for selected values","48",
"2016","Harvard University","History and philosophy of science","First Time Students","Total for selected values","12",
"2016","Harvard University","History and philosophy of science","First Time Students","Female","6",
"2016","Harvard University","History and philosophy of science","First Time Students","Male","6",
"2016","Harvard University","History and philosophy of science","Not collected","Total for selected values","2",
"2016","Harvard University","History and philosophy of science","Not collected","Female","1",
"2016","Harvard University","History and philosophy of science","Not collected","Male","1",
"2016","Harvard University","History and philosophy of science","Returning Students","Total for selected values","34",
"2016","Harvard University","History and philosophy of science","Returning Students","Female","21",
"2016","Harvard University","History and philosophy of science","Returning Students","Male","13",
"2016","Harvard University","Linguistics","Total for selected values","Total for selected values","25",
"2016","Harvard University","Linguistics","First Time Students","Total for selected values","4",
"2016","Harvard University","Linguistics","First Time Students","Female","2",
"2016","Harvard University","Linguistics","First Time Students","Male","2",
"2016","Harvard University","Linguistics","Returning Students","Total for selected values","21",
