Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"2016","Columbia University in the City of New York","Computer sciences","Non-Hispanic, black or African American","2",
"2016","Columbia University in the City of New York","Computer sciences","Non-Hispanic, more than one race","4",
"2016","Columbia University in the City of New York","Computer sciences","Non-Hispanic, white","65",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","252",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Ethnicity and race unknown or not stated","23",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","129",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Hispanic or Latino ethnicity (one or more races)","9",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, Asian","12",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, black or African American","4",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, more than one race","3",
"2016","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, white","72",
"2016","Columbia University in the City of New York","Engineering","Total for selected values","2,889",
"2016","Columbia University in the City of New York","Engineering","Ethnicity and race unknown or not stated","246",
"2016","Columbia University in the City of New York","Engineering","Foreign nationals holding temporary visas, regardless of ethnicity or race","2,044",
"2016","Columbia University in the City of New York","Engineering","Hispanic or Latino ethnicity (one or more races)","52",
"2016","Columbia University in the City of New York","Engineering","Non-Hispanic, American Indian or Alaska Native","1",
"2016","Columbia University in the City of New York","Engineering","Non-Hispanic, Asian","191",
"2016","Columbia University in the City of New York","Engineering","Non-Hispanic, black or African American","35",
"2016","Columbia University in the City of New York","Engineering","Non-Hispanic, more than one race","16",
"2016","Columbia University in the City of New York","Engineering","Non-Hispanic, Native Hawaiian or Other Pacific Islander","2",
"2016","Columbia University in the City of New York","Engineering","Non-Hispanic, white","302",
"2016","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","831",
"2016","Columbia University in the City of New York","Mathematics and statistics","Ethnicity and race unknown or not stated","31",
"2016","Columbia University in the City of New York","Mathematics and statistics","Foreign nationals holding temporary visas, regardless of ethnicity or race","757",
"2016","Columbia University in the City of New York","Mathematics and statistics","Hispanic or Latino ethnicity (one or more races)","1",
"2016","Columbia University in the City of New York","Mathematics and statistics","Non-Hispanic, Asian","14",
"2016","Columbia University in the City of New York","Mathematics and statistics","Non-Hispanic, black or African American","1",
"2016","Columbia University in the City of New York","Mathematics and statistics","Non-Hispanic, more than one race","1",
"2016","Columbia University in the City of New York","Mathematics and statistics","Non-Hispanic, white","26",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","102",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Foreign nationals holding temporary visas, regardless of ethnicity or race","8",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Hispanic or Latino ethnicity (one or more races)","12",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, American Indian or Alaska Native","3",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, Asian","13",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, black or African American","4",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, Native Hawaiian or Other Pacific Islander","1",
"2016","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, white","61",
"2016","Columbia University in the City of New York","Other health","Total for selected values","22",
"2016","Columbia University in the City of New York","Other health","Ethnicity and race unknown or not stated","1",
"2016","Columbia University in the City of New York","Other health","Foreign nationals holding temporary visas, regardless of ethnicity or race","3",
"2016","Columbia University in the City of New York","Other health","Non-Hispanic, Asian","4",
"2016","Columbia University in the City of New York","Other health","Non-Hispanic, black or African American","4",
"2016","Columbia University in the City of New York","Other health","Non-Hispanic, white","10",
"2016","Columbia University in the City of New York","Physical sciences","Total for selected values","262",
"2016","Columbia University in the City of New York","Physical sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","101",
"2016","Columbia University in the City of New York","Physical sciences","Hispanic or Latino ethnicity (one or more races)","11",
"2016","Columbia University in the City of New York","Physical sciences","Non-Hispanic, American Indian or Alaska Native","2",
"2016","Columbia University in the City of New York","Physical sciences","Non-Hispanic, Asian","17",
"2016","Columbia University in the City of New York","Physical sciences","Non-Hispanic, black or African American","8",
"2016","Columbia University in the City of New York","Physical sciences","Non-Hispanic, white","123",
"2016","Columbia University in the City of New York","Psychology","Total for selected values","35",
"2016","Columbia University in the City of New York","Psychology","Ethnicity and race unknown or not stated","1",
"2016","Columbia University in the City of New York","Psychology","Foreign nationals holding temporary visas, regardless of ethnicity or race","4",
"2016","Columbia University in the City of New York","Psychology","Hispanic or Latino ethnicity (one or more races)","1",
"2016","Columbia University in the City of New York","Psychology","Non-Hispanic, Asian","2",
"2016","Columbia University in the City of New York","Psychology","Non-Hispanic, black or African American","2",
"2016","Columbia University in the City of New York","Psychology","Non-Hispanic, more than one race","1",
"2016","Columbia University in the City of New York","Psychology","Non-Hispanic, white","24",
"2016","Columbia University in the City of New York","Social sciences","Total for selected values","685",
"2016","Columbia University in the City of New York","Social sciences","Ethnicity and race unknown or not stated","50",
"2016","Columbia University in the City of New York","Social sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","387",
"2016","Columbia University in the City of New York","Social sciences","Hispanic or Latino ethnicity (one or more races)","34",
"2016","Columbia University in the City of New York","Social sciences","Non-Hispanic, Asian","47",
"2016","Columbia University in the City of New York","Social sciences","Non-Hispanic, black or African American","15",
"2016","Columbia University in the City of New York","Social sciences","Non-Hispanic, more than one race","10",
"2016","Columbia University in the City of New York","Social sciences","Non-Hispanic, Native Hawaiian or Other Pacific Islander","1",
"2016","Columbia University in the City of New York","Social sciences","Non-Hispanic, white","141",
"2015","Total for selected values","Total for selected values","Total for selected values","6,194",
"2015","Columbia University in the City of New York","Total for selected values","Total for selected values","6,194",
"2015","Columbia University in the City of New York","Biological sciences","Total for selected values","739",
"2015","Columbia University in the City of New York","Biological sciences","Ethnicity and race unknown or not stated","2",
"2015","Columbia University in the City of New York","Biological sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","234",
"2015","Columbia University in the City of New York","Biological sciences","Hispanic or Latino ethnicity (one or more races)","39",
"2015","Columbia University in the City of New York","Biological sciences","Non-Hispanic, American Indian or Alaska Native","2",
"2015","Columbia University in the City of New York","Biological sciences","Non-Hispanic, Asian","110",
"2015","Columbia University in the City of New York","Biological sciences","Non-Hispanic, black or African American","29",
"2015","Columbia University in the City of New York","Biological sciences","Non-Hispanic, more than one race","11",
"2015","Columbia University in the City of New York","Biological sciences","Non-Hispanic, Native Hawaiian or Other Pacific Islander","3",
"2015","Columbia University in the City of New York","Biological sciences","Non-Hispanic, white","309",
"2015","Columbia University in the City of New York","Clinical medicine","Total for selected values","73",
"2015","Columbia University in the City of New York","Clinical medicine","Foreign nationals holding temporary visas, regardless of ethnicity or race","14",
"2015","Columbia University in the City of New York","Clinical medicine","Hispanic or Latino ethnicity (one or more races)","7",
"2015","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, American Indian or Alaska Native","6",
"2015","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, Asian","6",
"2015","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, black or African American","4",
"2015","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, Native Hawaiian or Other Pacific Islander","1",
"2015","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, white","35",
"2015","Columbia University in the City of New York","Computer sciences","Total for selected values","666",
"2015","Columbia University in the City of New York","Computer sciences","Ethnicity and race unknown or not stated","35",
"2015","Columbia University in the City of New York","Computer sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","452",
"2015","Columbia University in the City of New York","Computer sciences","Hispanic or Latino ethnicity (one or more races)","17",
"2015","Columbia University in the City of New York","Computer sciences","Non-Hispanic, Asian","57",
"2015","Columbia University in the City of New York","Computer sciences","Non-Hispanic, black or African American","6",
"2015","Columbia University in the City of New York","Computer sciences","Non-Hispanic, more than one race","9",
"2015","Columbia University in the City of New York","Computer sciences","Non-Hispanic, white","90",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","269",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Ethnicity and race unknown or not stated","22",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","151",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Hispanic or Latino ethnicity (one or more races)","7",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, Asian","8",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, black or African American","2",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, more than one race","2",
"2015","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, white","77",
"2015","Columbia University in the City of New York","Engineering","Total for selected values","2,581",
"2015","Columbia University in the City of New York","Engineering","Ethnicity and race unknown or not stated","228",
"2015","Columbia University in the City of New York","Engineering","Foreign nationals holding temporary visas, regardless of ethnicity or race","1,909",
"2015","Columbia University in the City of New York","Engineering","Hispanic or Latino ethnicity (one or more races)","41",
"2015","Columbia University in the City of New York","Engineering","Non-Hispanic, American Indian or Alaska Native","1",
"2015","Columbia University in the City of New York","Engineering","Non-Hispanic, Asian","126",
"2015","Columbia University in the City of New York","Engineering","Non-Hispanic, black or African American","14",
"2015","Columbia University in the City of New York","Engineering","Non-Hispanic, more than one race","15",
"2015","Columbia University in the City of New York","Engineering","Non-Hispanic, white","247",
"2015","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","840",
"2015","Columbia University in the City of New York","Mathematics and statistics","Ethnicity and race unknown or not stated","15",
"2015","Columbia University in the City of New York","Mathematics and statistics","Foreign nationals holding temporary visas, regardless of ethnicity or race","765",
"2015","Columbia University in the City of New York","Mathematics and statistics","Hispanic or Latino ethnicity (one or more races)","2",
"2015","Columbia University in the City of New York","Mathematics and statistics","Non-Hispanic, Asian","21",
"2015","Columbia University in the City of New York","Mathematics and statistics","Non-Hispanic, black or African American","1",
"2015","Columbia University in the City of New York","Mathematics and statistics","Non-Hispanic, white","36",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","95",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Foreign nationals holding temporary visas, regardless of ethnicity or race","12",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Hispanic or Latino ethnicity (one or more races)","9",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, American Indian or Alaska Native","3",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, Asian","11",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, black or African American","4",
"2015","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, white","56",
"2015","Columbia University in the City of New York","Other health","Total for selected values","26",
"2015","Columbia University in the City of New York","Other health","Ethnicity and race unknown or not stated","2",
"2015","Columbia University in the City of New York","Other health","Foreign nationals holding temporary visas, regardless of ethnicity or race","3",
"2015","Columbia University in the City of New York","Other health","Hispanic or Latino ethnicity (one or more races)","1",
"2015","Columbia University in the City of New York","Other health","Non-Hispanic, Asian","5",
"2015","Columbia University in the City of New York","Other health","Non-Hispanic, black or African American","6",
"2015","Columbia University in the City of New York","Other health","Non-Hispanic, white","9",
"2015","Columbia University in the City of New York","Physical sciences","Total for selected values","248",
"2015","Columbia University in the City of New York","Physical sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","90",
"2015","Columbia University in the City of New York","Physical sciences","Hispanic or Latino ethnicity (one or more races)","13",
"2015","Columbia University in the City of New York","Physical sciences","Non-Hispanic, American Indian or Alaska Native","2",
"2015","Columbia University in the City of New York","Physical sciences","Non-Hispanic, Asian","21",
"2015","Columbia University in the City of New York","Physical sciences","Non-Hispanic, black or African American","6",
"2015","Columbia University in the City of New York","Physical sciences","Non-Hispanic, white","116",
"2015","Columbia University in the City of New York","Psychology","Total for selected values","38",
"2015","Columbia University in the City of New York","Psychology","Ethnicity and race unknown or not stated","2",
"2015","Columbia University in the City of New York","Psychology","Foreign nationals holding temporary visas, regardless of ethnicity or race","7",
"2015","Columbia University in the City of New York","Psychology","Hispanic or Latino ethnicity (one or more races)","1",
"2015","Columbia University in the City of New York","Psychology","Non-Hispanic, Asian","2",
"2015","Columbia University in the City of New York","Psychology","Non-Hispanic, black or African American","2",
"2015","Columbia University in the City of New York","Psychology","Non-Hispanic, more than one race","1",
"2015","Columbia University in the City of New York","Psychology","Non-Hispanic, white","23",
"2015","Columbia University in the City of New York","Social sciences","Total for selected values","619",
"2015","Columbia University in the City of New York","Social sciences","Ethnicity and race unknown or not stated","35",
"2015","Columbia University in the City of New York","Social sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","339",
"2015","Columbia University in the City of New York","Social sciences","Hispanic or Latino ethnicity (one or more races)","24",
"2015","Columbia University in the City of New York","Social sciences","Non-Hispanic, American Indian or Alaska Native","1",
"2015","Columbia University in the City of New York","Social sciences","Non-Hispanic, Asian","40",
"2015","Columbia University in the City of New York","Social sciences","Non-Hispanic, black or African American","15",
"2015","Columbia University in the City of New York","Social sciences","Non-Hispanic, more than one race","5",
"2015","Columbia University in the City of New York","Social sciences","Non-Hispanic, white","160",
"2014","Total for selected values","Total for selected values","Total for selected values","5,718",
"2014","Columbia University in the City of New York","Total for selected values","Total for selected values","5,718",
"2014","Columbia University in the City of New York","Biological sciences","Total for selected values","760",
"2014","Columbia University in the City of New York","Biological sciences","Ethnicity and race unknown or not stated","13",
"2014","Columbia University in the City of New York","Biological sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","250",
"2014","Columbia University in the City of New York","Biological sciences","Hispanic or Latino ethnicity (one or more races)","40",
"2014","Columbia University in the City of New York","Biological sciences","Non-Hispanic, American Indian or Alaska Native","2",
"2014","Columbia University in the City of New York","Biological sciences","Non-Hispanic, Asian","103",
"2014","Columbia University in the City of New York","Biological sciences","Non-Hispanic, black or African American","24",
"2014","Columbia University in the City of New York","Biological sciences","Non-Hispanic, more than one race","16",
"2014","Columbia University in the City of New York","Biological sciences","Non-Hispanic, Native Hawaiian or Other Pacific Islander","3",
"2014","Columbia University in the City of New York","Biological sciences","Non-Hispanic, white","309",
"2014","Columbia University in the City of New York","Clinical medicine","Total for selected values","74",
"2014","Columbia University in the City of New York","Clinical medicine","Foreign nationals holding temporary visas, regardless of ethnicity or race","11",
"2014","Columbia University in the City of New York","Clinical medicine","Hispanic or Latino ethnicity (one or more races)","5",
"2014","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, Asian","8",
"2014","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, black or African American","3",
"2014","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, white","47",
"2014","Columbia University in the City of New York","Computer sciences","Total for selected values","592",
"2014","Columbia University in the City of New York","Computer sciences","Ethnicity and race unknown or not stated","32",
"2014","Columbia University in the City of New York","Computer sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","420",
"2014","Columbia University in the City of New York","Computer sciences","Hispanic or Latino ethnicity (one or more races)","6",
"2014","Columbia University in the City of New York","Computer sciences","Non-Hispanic, Asian","48",
"2014","Columbia University in the City of New York","Computer sciences","Non-Hispanic, black or African American","2",
"2014","Columbia University in the City of New York","Computer sciences","Non-Hispanic, more than one race","8",
"2014","Columbia University in the City of New York","Computer sciences","Non-Hispanic, white","76",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","217",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Ethnicity and race unknown or not stated","46",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","113",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Hispanic or Latino ethnicity (one or more races)","7",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, American Indian or Alaska Native","1",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, Asian","3",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, black or African American","4",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, more than one race","1",
"2014","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, white","42",
"2014","Columbia University in the City of New York","Engineering","Total for selected values","2,229",
"2014","Columbia University in the City of New York","Engineering","Ethnicity and race unknown or not stated","196",
"2014","Columbia University in the City of New York","Engineering","Foreign nationals holding temporary visas, regardless of ethnicity or race","1,685",
"2014","Columbia University in the City of New York","Engineering","Hispanic or Latino ethnicity (one or more races)","14",
"2014","Columbia University in the City of New York","Engineering","Non-Hispanic, Asian","118",
"2014","Columbia University in the City of New York","Engineering","Non-Hispanic, black or African American","13",
"2014","Columbia University in the City of New York","Engineering","Non-Hispanic, more than one race","12",
"2014","Columbia University in the City of New York","Engineering","Non-Hispanic, white","191",
"2014","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","781",
"2014","Columbia University in the City of New York","Mathematics and statistics","Ethnicity and race unknown or not stated","15",
"2014","Columbia University in the City of New York","Mathematics and statistics","Foreign nationals holding temporary visas, regardless of ethnicity or race","682",
"2014","Columbia University in the City of New York","Mathematics and statistics","Hispanic or Latino ethnicity (one or more races)","2",
"2014","Columbia University in the City of New York","Mathematics and statistics","Non-Hispanic, Asian","23",
"2014","Columbia University in the City of New York","Mathematics and statistics","Non-Hispanic, more than one race","2",
"2014","Columbia University in the City of New York","Mathematics and statistics","Non-Hispanic, white","57",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Total for selected values","86",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Foreign nationals holding temporary visas, regardless of ethnicity or race","11",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Hispanic or Latino ethnicity (one or more races)","8",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, American Indian or Alaska Native","1",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, Asian","9",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, black or African American","2",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, Native Hawaiian or Other Pacific Islander","1",
"2014","Columbia University in the City of New York","Neurobiology and neuroscience","Non-Hispanic, white","54",
"2014","Columbia University in the City of New York","Other health","Total for selected values","30",
"2014","Columbia University in the City of New York","Other health","Ethnicity and race unknown or not stated","3",
"2014","Columbia University in the City of New York","Other health","Foreign nationals holding temporary visas, regardless of ethnicity or race","6",
"2014","Columbia University in the City of New York","Other health","Hispanic or Latino ethnicity (one or more races)","4",
"2014","Columbia University in the City of New York","Other health","Non-Hispanic, Asian","3",
"2014","Columbia University in the City of New York","Other health","Non-Hispanic, black or African American","4",
"2014","Columbia University in the City of New York","Other health","Non-Hispanic, more than one race","1",
"2014","Columbia University in the City of New York","Other health","Non-Hispanic, white","9",
"2014","Columbia University in the City of New York","Physical sciences","Total for selected values","256",
"2014","Columbia University in the City of New York","Physical sciences","Ethnicity and race unknown or not stated","4",
"2014","Columbia University in the City of New York","Physical sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","97",
"2014","Columbia University in the City of New York","Physical sciences","Hispanic or Latino ethnicity (one or more races)","16",
"2014","Columbia University in the City of New York","Physical sciences","Non-Hispanic, American Indian or Alaska Native","1",
"2014","Columbia University in the City of New York","Physical sciences","Non-Hispanic, Asian","23",
"2014","Columbia University in the City of New York","Physical sciences","Non-Hispanic, black or African American","5",
"2014","Columbia University in the City of New York","Physical sciences","Non-Hispanic, white","110",
"2014","Columbia University in the City of New York","Psychology","Total for selected values","34",
"2014","Columbia University in the City of New York","Psychology","Ethnicity and race unknown or not stated","1",
"2014","Columbia University in the City of New York","Psychology","Foreign nationals holding temporary visas, regardless of ethnicity or race","6",
"2014","Columbia University in the City of New York","Psychology","Hispanic or Latino ethnicity (one or more races)","1",
"2014","Columbia University in the City of New York","Psychology","Non-Hispanic, Asian","1",
"2014","Columbia University in the City of New York","Psychology","Non-Hispanic, black or African American","2",
"2014","Columbia University in the City of New York","Psychology","Non-Hispanic, white","23",
"2014","Columbia University in the City of New York","Social sciences","Total for selected values","659",
"2014","Columbia University in the City of New York","Social sciences","Ethnicity and race unknown or not stated","49",
"2014","Columbia University in the City of New York","Social sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","350",
"2014","Columbia University in the City of New York","Social sciences","Hispanic or Latino ethnicity (one or more races)","23",
"2014","Columbia University in the City of New York","Social sciences","Non-Hispanic, American Indian or Alaska Native","2",
"2014","Columbia University in the City of New York","Social sciences","Non-Hispanic, Asian","41",
"2014","Columbia University in the City of New York","Social sciences","Non-Hispanic, black or African American","16",
"2014","Columbia University in the City of New York","Social sciences","Non-Hispanic, more than one race","5",
"2014","Columbia University in the City of New York","Social sciences","Non-Hispanic, white","173",
"2013","Total for selected values","Total for selected values","Total for selected values","5,174",
"2013","Columbia University in the City of New York","Total for selected values","Total for selected values","5,174",
"2013","Columbia University in the City of New York","Biological sciences","Total for selected values","700",
"2013","Columbia University in the City of New York","Biological sciences","Ethnicity and race unknown or not stated","7",
"2013","Columbia University in the City of New York","Biological sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","205",
"2013","Columbia University in the City of New York","Biological sciences","Hispanic or Latino ethnicity (one or more races)","47",
"2013","Columbia University in the City of New York","Biological sciences","Non-Hispanic, American Indian or Alaska Native","3",
"2013","Columbia University in the City of New York","Biological sciences","Non-Hispanic, Asian","96",
"2013","Columbia University in the City of New York","Biological sciences","Non-Hispanic, black or African American","31",
"2013","Columbia University in the City of New York","Biological sciences","Non-Hispanic, more than one race","6",
"2013","Columbia University in the City of New York","Biological sciences","Non-Hispanic, Native Hawaiian or Other Pacific Islander","3",
"2013","Columbia University in the City of New York","Biological sciences","Non-Hispanic, white","302",
"2013","Columbia University in the City of New York","Clinical medicine","Total for selected values","73",
"2013","Columbia University in the City of New York","Clinical medicine","Foreign nationals holding temporary visas, regardless of ethnicity or race","18",
"2013","Columbia University in the City of New York","Clinical medicine","Hispanic or Latino ethnicity (one or more races)","5",
"2013","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, Asian","3",
"2013","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, black or African American","1",
"2013","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, more than one race","1",
"2013","Columbia University in the City of New York","Clinical medicine","Non-Hispanic, white","45",
"2013","Columbia University in the City of New York","Computer sciences","Total for selected values","524",
"2013","Columbia University in the City of New York","Computer sciences","Ethnicity and race unknown or not stated","114",
"2013","Columbia University in the City of New York","Computer sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","385",
"2013","Columbia University in the City of New York","Computer sciences","Non-Hispanic, Asian","10",
"2013","Columbia University in the City of New York","Computer sciences","Non-Hispanic, black or African American","1",
"2013","Columbia University in the City of New York","Computer sciences","Non-Hispanic, white","14",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","212",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Ethnicity and race unknown or not stated","13",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Foreign nationals holding temporary visas, regardless of ethnicity or race","107",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Hispanic or Latino ethnicity (one or more races)","7",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, American Indian or Alaska Native","1",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, Asian","7",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, black or African American","1",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, more than one race","2",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, Native Hawaiian or Other Pacific Islander","2",
"2013","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Non-Hispanic, white","72",
"2013","Columbia University in the City of New York","Engineering","Total for selected values","1,965",
"2013","Columbia University in the City of New York","Engineering","Ethnicity and race unknown or not stated","267",
"2013","Columbia University in the City of New York","Engineering","Foreign nationals holding temporary visas, regardless of ethnicity or race","1,484",
"2013","Columbia University in the City of New York","Engineering","Hispanic or Latino ethnicity (one or more races)","11",
"2013","Columbia University in the City of New York","Engineering","Non-Hispanic, American Indian or Alaska Native","1",
"2013","Columbia University in the City of New York","Engineering","Non-Hispanic, Asian","72",
"2013","Columbia University in the City of New York","Engineering","Non-Hispanic, black or African American","9",
"2013","Columbia University in the City of New York","Engineering","Non-Hispanic, more than one race","7",
"2013","Columbia University in the City of New York","Engineering","Non-Hispanic, white","114",
"2013","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","608",
"2013","Columbia University in the City of New York","Mathematics and statistics","Ethnicity and race unknown or not stated","23",
"2013","Columbia University in the City of New York","Mathematics and statistics","Foreign nationals holding temporary visas, regardless of ethnicity or race","495",
