Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","Columbia Univ in the City of New York, Columbia University in the City of New York"

,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"2011","Columbia University in the City of New York","Other health","Total for selected values","20",
"2011","Columbia University in the City of New York","Other health","Female","16",
"2011","Columbia University in the City of New York","Other health","Male","4",
"2011","Columbia University in the City of New York","Physical sciences","Total for selected values","261",
"2011","Columbia University in the City of New York","Physical sciences","Female","87",
"2011","Columbia University in the City of New York","Physical sciences","Male","174",
"2011","Columbia University in the City of New York","Psychology","Total for selected values","36",
"2011","Columbia University in the City of New York","Psychology","Female","23",
"2011","Columbia University in the City of New York","Psychology","Male","13",
"2011","Columbia University in the City of New York","Social sciences","Total for selected values","672",
"2011","Columbia University in the City of New York","Social sciences","Female","359",
"2011","Columbia University in the City of New York","Social sciences","Male","313",
"2010","Total for selected values","Total for selected values","Total for selected values","4,600",
"2010","Columbia University in the City of New York","Total for selected values","Total for selected values","4,600",
"2010","Columbia University in the City of New York","Biological sciences","Total for selected values","740",
"2010","Columbia University in the City of New York","Biological sciences","Female","408",
"2010","Columbia University in the City of New York","Biological sciences","Male","332",
"2010","Columbia University in the City of New York","Clinical medicine","Total for selected values","89",
"2010","Columbia University in the City of New York","Clinical medicine","Female","63",
"2010","Columbia University in the City of New York","Clinical medicine","Male","26",
"2010","Columbia University in the City of New York","Computer sciences","Total for selected values","429",
"2010","Columbia University in the City of New York","Computer sciences","Female","101",
"2010","Columbia University in the City of New York","Computer sciences","Male","328",
"2010","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","173",
"2010","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Female","89",
"2010","Columbia University in the City of New York","Earth, atmospheric, and ocean sciences","Male","84",
"2010","Columbia University in the City of New York","Engineering","Total for selected values","1,591",
"2010","Columbia University in the City of New York","Engineering","Female","385",
"2010","Columbia University in the City of New York","Engineering","Male","1,206",
"2010","Columbia University in the City of New York","Mathematics and statistics","Total for selected values","418",
"2010","Columbia University in the City of New York","Mathematics and statistics","Female","151",
"2010","Columbia University in the City of New York","Mathematics and statistics","Male","267",
"2010","Columbia University in the City of New York","Other health","Total for selected values","214",
"2010","Columbia University in the City of New York","Other health","Female","204",
"2010","Columbia University in the City of New York","Other health","Male","10",
"2010","Columbia University in the City of New York","Physical sciences","Total for selected values","272",
"2010","Columbia University in the City of New York","Physical sciences","Female","90",
"2010","Columbia University in the City of New York","Physical sciences","Male","182",
"2010","Columbia University in the City of New York","Psychology","Total for selected values","46",
"2010","Columbia University in the City of New York","Psychology","Female","28",
"2010","Columbia University in the City of New York","Psychology","Male","18",
"2010","Columbia University in the City of New York","Social sciences","Total for selected values","628",
"2010","Columbia University in the City of New York","Social sciences","Female","331",
"2010","Columbia University in the City of New York","Social sciences","Male","297",
"2009","Total for selected values","Total for selected values","Total for selected values","4,196",
"2009","Columbia Univ in the City of New York","Total for selected values","Total for selected values","4,196",
"2009","Columbia Univ in the City of New York","Biological sciences","Total for selected values","746",
"2009","Columbia Univ in the City of New York","Biological sciences","Female","415",
"2009","Columbia Univ in the City of New York","Biological sciences","Male","331",
"2009","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","87",
"2009","Columbia Univ in the City of New York","Clinical medicine","Female","55",
"2009","Columbia Univ in the City of New York","Clinical medicine","Male","32",
"2009","Columbia Univ in the City of New York","Computer sciences","Total for selected values","400",
"2009","Columbia Univ in the City of New York","Computer sciences","Female","71",
"2009","Columbia Univ in the City of New York","Computer sciences","Male","329",
"2009","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","193",
"2009","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","90",
"2009","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","103",
"2009","Columbia Univ in the City of New York","Engineering","Total for selected values","1,250",
"2009","Columbia Univ in the City of New York","Engineering","Female","292",
"2009","Columbia Univ in the City of New York","Engineering","Male","958",
"2009","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","397",
"2009","Columbia Univ in the City of New York","Mathematics and statistics","Female","153",
"2009","Columbia Univ in the City of New York","Mathematics and statistics","Male","244",
"2009","Columbia Univ in the City of New York","Other health","Total for selected values","230",
"2009","Columbia Univ in the City of New York","Other health","Female","220",
"2009","Columbia Univ in the City of New York","Other health","Male","10",
"2009","Columbia Univ in the City of New York","Physical sciences","Total for selected values","246",
"2009","Columbia Univ in the City of New York","Physical sciences","Female","84",
"2009","Columbia Univ in the City of New York","Physical sciences","Male","162",
"2009","Columbia Univ in the City of New York","Psychology","Total for selected values","41",
"2009","Columbia Univ in the City of New York","Psychology","Female","24",
"2009","Columbia Univ in the City of New York","Psychology","Male","17",
"2009","Columbia Univ in the City of New York","Social sciences","Total for selected values","606",
"2009","Columbia Univ in the City of New York","Social sciences","Female","307",
"2009","Columbia Univ in the City of New York","Social sciences","Male","299",
"2008","Total for selected values","Total for selected values","Total for selected values","4,325",
"2008","Columbia Univ in the City of New York","Total for selected values","Total for selected values","4,325",
"2008","Columbia Univ in the City of New York","Biological sciences","Total for selected values","746",
"2008","Columbia Univ in the City of New York","Biological sciences","Female","416",
"2008","Columbia Univ in the City of New York","Biological sciences","Male","330",
"2008","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","81",
"2008","Columbia Univ in the City of New York","Clinical medicine","Female","49",
"2008","Columbia Univ in the City of New York","Clinical medicine","Male","32",
"2008","Columbia Univ in the City of New York","Computer sciences","Total for selected values","437",
"2008","Columbia Univ in the City of New York","Computer sciences","Female","76",
"2008","Columbia Univ in the City of New York","Computer sciences","Male","361",
"2008","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","179",
"2008","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","89",
"2008","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","90",
"2008","Columbia Univ in the City of New York","Engineering","Total for selected values","1,087",
"2008","Columbia Univ in the City of New York","Engineering","Female","245",
"2008","Columbia Univ in the City of New York","Engineering","Male","842",
"2008","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","383",
"2008","Columbia Univ in the City of New York","Mathematics and statistics","Female","140",
"2008","Columbia Univ in the City of New York","Mathematics and statistics","Male","243",
"2008","Columbia Univ in the City of New York","Other health","Total for selected values","554",
"2008","Columbia Univ in the City of New York","Other health","Female","491",
"2008","Columbia Univ in the City of New York","Other health","Male","63",
"2008","Columbia Univ in the City of New York","Physical sciences","Total for selected values","246",
"2008","Columbia Univ in the City of New York","Physical sciences","Female","92",
"2008","Columbia Univ in the City of New York","Physical sciences","Male","154",
"2008","Columbia Univ in the City of New York","Psychology","Total for selected values","40",
"2008","Columbia Univ in the City of New York","Psychology","Female","21",
"2008","Columbia Univ in the City of New York","Psychology","Male","19",
"2008","Columbia Univ in the City of New York","Social sciences","Total for selected values","572",
"2008","Columbia Univ in the City of New York","Social sciences","Female","292",
"2008","Columbia Univ in the City of New York","Social sciences","Male","280",
"2007","Total for selected values","Total for selected values","Total for selected values","4,268",
"2007","Columbia Univ in the City of New York","Total for selected values","Total for selected values","4,268",
"2007","Columbia Univ in the City of New York","Biological sciences","Total for selected values","792",
"2007","Columbia Univ in the City of New York","Biological sciences","Female","431",
"2007","Columbia Univ in the City of New York","Biological sciences","Male","361",
"2007","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","77",
"2007","Columbia Univ in the City of New York","Clinical medicine","Female","48",
"2007","Columbia Univ in the City of New York","Clinical medicine","Male","29",
"2007","Columbia Univ in the City of New York","Computer sciences","Total for selected values","496",
"2007","Columbia Univ in the City of New York","Computer sciences","Female","83",
"2007","Columbia Univ in the City of New York","Computer sciences","Male","413",
"2007","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","154",
"2007","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","80",
"2007","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","74",
"2007","Columbia Univ in the City of New York","Engineering","Total for selected values","932",
"2007","Columbia Univ in the City of New York","Engineering","Female","220",
"2007","Columbia Univ in the City of New York","Engineering","Male","712",
"2007","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","357",
"2007","Columbia Univ in the City of New York","Mathematics and statistics","Female","125",
"2007","Columbia Univ in the City of New York","Mathematics and statistics","Male","232",
"2007","Columbia Univ in the City of New York","Other health","Total for selected values","547",
"2007","Columbia Univ in the City of New York","Other health","Female","482",
"2007","Columbia Univ in the City of New York","Other health","Male","65",
"2007","Columbia Univ in the City of New York","Physical sciences","Total for selected values","267",
"2007","Columbia Univ in the City of New York","Physical sciences","Female","98",
"2007","Columbia Univ in the City of New York","Physical sciences","Male","169",
"2007","Columbia Univ in the City of New York","Psychology","Total for selected values","34",
"2007","Columbia Univ in the City of New York","Psychology","Female","22",
"2007","Columbia Univ in the City of New York","Psychology","Male","12",
"2007","Columbia Univ in the City of New York","Social sciences","Total for selected values","612",
"2007","Columbia Univ in the City of New York","Social sciences","Female","322",
"2007","Columbia Univ in the City of New York","Social sciences","Male","290",
"2006","Total for selected values","Total for selected values","Total for selected values","4,154",
"2006","Columbia Univ in the City of New York","Total for selected values","Total for selected values","4,154",
"2006","Columbia Univ in the City of New York","Biological sciences","Total for selected values","754",
"2006","Columbia Univ in the City of New York","Biological sciences","Female","415",
"2006","Columbia Univ in the City of New York","Biological sciences","Male","339",
"2006","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","1",
"2006","Columbia Univ in the City of New York","Clinical medicine","Male","1",
"2006","Columbia Univ in the City of New York","Computer sciences","Total for selected values","411",
"2006","Columbia Univ in the City of New York","Computer sciences","Female","83",
"2006","Columbia Univ in the City of New York","Computer sciences","Male","328",
"2006","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","149",
"2006","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","73",
"2006","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","76",
"2006","Columbia Univ in the City of New York","Engineering","Total for selected values","853",
"2006","Columbia Univ in the City of New York","Engineering","Female","191",
"2006","Columbia Univ in the City of New York","Engineering","Male","662",
"2006","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","326",
"2006","Columbia Univ in the City of New York","Mathematics and statistics","Female","125",
"2006","Columbia Univ in the City of New York","Mathematics and statistics","Male","201",
"2006","Columbia Univ in the City of New York","Other health","Total for selected values","543",
"2006","Columbia Univ in the City of New York","Other health","Female","481",
"2006","Columbia Univ in the City of New York","Other health","Male","62",
"2006","Columbia Univ in the City of New York","Physical sciences","Total for selected values","258",
"2006","Columbia Univ in the City of New York","Physical sciences","Female","89",
"2006","Columbia Univ in the City of New York","Physical sciences","Male","169",
"2006","Columbia Univ in the City of New York","Psychology","Total for selected values","32",
"2006","Columbia Univ in the City of New York","Psychology","Female","20",
"2006","Columbia Univ in the City of New York","Psychology","Male","12",
"2006","Columbia Univ in the City of New York","Social sciences","Total for selected values","827",
"2006","Columbia Univ in the City of New York","Social sciences","Female","481",
"2006","Columbia Univ in the City of New York","Social sciences","Male","346",
"2005","Total for selected values","Total for selected values","Total for selected values","3,995",
"2005","Columbia Univ in the City of New York","Total for selected values","Total for selected values","3,995",
"2005","Columbia Univ in the City of New York","Biological sciences","Total for selected values","771",
"2005","Columbia Univ in the City of New York","Biological sciences","Female","417",
"2005","Columbia Univ in the City of New York","Biological sciences","Male","354",
"2005","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","11",
"2005","Columbia Univ in the City of New York","Clinical medicine","Female","8",
"2005","Columbia Univ in the City of New York","Clinical medicine","Male","3",
"2005","Columbia Univ in the City of New York","Computer sciences","Total for selected values","365",
"2005","Columbia Univ in the City of New York","Computer sciences","Female","81",
"2005","Columbia Univ in the City of New York","Computer sciences","Male","284",
"2005","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","150",
"2005","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","73",
"2005","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","77",
"2005","Columbia Univ in the City of New York","Engineering","Total for selected values","795",
"2005","Columbia Univ in the City of New York","Engineering","Female","173",
"2005","Columbia Univ in the City of New York","Engineering","Male","622",
"2005","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","309",
"2005","Columbia Univ in the City of New York","Mathematics and statistics","Female","103",
"2005","Columbia Univ in the City of New York","Mathematics and statistics","Male","206",
"2005","Columbia Univ in the City of New York","Other health","Total for selected values","669",
"2005","Columbia Univ in the City of New York","Other health","Female","595",
"2005","Columbia Univ in the City of New York","Other health","Male","74",
"2005","Columbia Univ in the City of New York","Physical sciences","Total for selected values","259",
"2005","Columbia Univ in the City of New York","Physical sciences","Female","89",
"2005","Columbia Univ in the City of New York","Physical sciences","Male","170",
"2005","Columbia Univ in the City of New York","Psychology","Total for selected values","31",
"2005","Columbia Univ in the City of New York","Psychology","Female","20",
"2005","Columbia Univ in the City of New York","Psychology","Male","11",
"2005","Columbia Univ in the City of New York","Social sciences","Total for selected values","635",
"2005","Columbia Univ in the City of New York","Social sciences","Female","318",
"2005","Columbia Univ in the City of New York","Social sciences","Male","317",
"2004","Total for selected values","Total for selected values","Total for selected values","3,634",
"2004","Columbia Univ in the City of New York","Total for selected values","Total for selected values","3,634",
"2004","Columbia Univ in the City of New York","Biological sciences","Total for selected values","774",
"2004","Columbia Univ in the City of New York","Biological sciences","Female","418",
"2004","Columbia Univ in the City of New York","Biological sciences","Male","356",
"2004","Columbia Univ in the City of New York","Clinical medicine","Total for selected values","10",
"2004","Columbia Univ in the City of New York","Clinical medicine","Female","8",
"2004","Columbia Univ in the City of New York","Clinical medicine","Male","2",
"2004","Columbia Univ in the City of New York","Computer sciences","Total for selected values","372",
"2004","Columbia Univ in the City of New York","Computer sciences","Female","94",
"2004","Columbia Univ in the City of New York","Computer sciences","Male","278",
"2004","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Total for selected values","135",
"2004","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Female","63",
"2004","Columbia Univ in the City of New York","Earth, atmospheric, and ocean sciences","Male","72",
"2004","Columbia Univ in the City of New York","Engineering","Total for selected values","767",
"2004","Columbia Univ in the City of New York","Engineering","Female","181",
"2004","Columbia Univ in the City of New York","Engineering","Male","586",
"2004","Columbia Univ in the City of New York","Mathematics and statistics","Total for selected values","249",
"2004","Columbia Univ in the City of New York","Mathematics and statistics","Female","71",
"2004","Columbia Univ in the City of New York","Mathematics and statistics","Male","178",
"2004","Columbia Univ in the City of New York","Other health","Total for selected values","408",
"2004","Columbia Univ in the City of New York","Other health","Female","356",
"2004","Columbia Univ in the City of New York","Other health","Male","52",
"2004","Columbia Univ in the City of New York","Physical sciences","Total for selected values","276",
"2004","Columbia Univ in the City of New York","Physical sciences","Female","88",
"2004","Columbia Univ in the City of New York","Physical sciences","Male","188",
"2004","Columbia Univ in the City of New York","Psychology","Total for selected values","36",
"2004","Columbia Univ in the City of New York","Psychology","Female","23",
"2004","Columbia Univ in the City of New York","Psychology","Male","13",
